,experiment,response time (ms),Subject,block
0,haptic,372.16256000000004,1,1
1,haptic,340.2956799999999,1,1
2,haptic,265.91231999999997,1,1
3,haptic,208.11776000000015,1,1
4,haptic,171.2947199999999,1,1
5,haptic,308.1420800000001,1,1
6,haptic,346.39872,1,1
7,haptic,245.5142399999999,1,1
8,haptic,271.89248,1,1
9,haptic,540.9177599999999,1,1
10,haptic,263.65952000000004,1,1
11,haptic,211.47647999999998,1,1
12,haptic,201.40031999999985,1,1
13,haptic,452.77184000000005,1,1
14,haptic,395.50976,1,1
15,haptic,301.79328000000004,1,1
16,haptic,366.18240000000003,1,1
17,haptic,225.97632000000002,1,1
18,haptic,332.34944,1,1
19,haptic,487.9155200000001,1,1
55,off-target,439.33696,1,1
60,2000 uA 100 ms,420.37248,1,1
61,2000 uA 100 ms,542.80192,1,1
62,2000 uA 100 ms,463.0528,1,1
63,2000 uA 100 ms,439.17312,1,1
64,2000 uA 100 ms,315.43296,1,1
65,2000 uA 100 ms,280.00256,1,1
66,2000 uA 100 ms,326.53312,1,1
67,2000 uA 100 ms,425.45152,1,1
68,2000 uA 100 ms,418.2016,1,1
69,2000 uA 100 ms,292.82304,1,1
70,2000 uA 100 ms,310.39488,1,1
71,2000 uA 100 ms,535.38816,1,1
72,2000 uA 100 ms,303.18592,1,1
73,2000 uA 100 ms,349.06112,1,1
74,2000 uA 100 ms,287.1296,1,1
75,2000 uA 100 ms,468.62336,1,1
76,2000 uA 100 ms,459.48928,1,1
77,2000 uA 100 ms,414.5152,1,1
78,2000 uA 100 ms,370.19648,1,1
79,2000 uA 100 ms,608.256,1,1
81,1000 uA 200 ms,843.93984,1,1
100,1500 uA 200 ms,508.06784000000005,1,1
101,1500 uA 200 ms,393.91231999999997,1,1
102,1500 uA 200 ms,719.13472,1,1
103,1500 uA 200 ms,429.58848,1,1
104,1500 uA 200 ms,381.25568,1,1
105,1500 uA 200 ms,423.48544,1,1
106,1500 uA 200 ms,429.17888,1,1
107,1500 uA 200 ms,320.63488,1,1
108,1500 uA 200 ms,470.2208,1,1
109,1500 uA 200 ms,432.08704,1,1
110,1500 uA 200 ms,337.18272,1,1
111,1500 uA 200 ms,514.2118399999999,1,1
112,1500 uA 200 ms,267.0592,1,1
113,1500 uA 200 ms,424.83712,1,1
114,1500 uA 200 ms,432.04608,1,1
115,1500 uA 200 ms,489.02144,1,1
116,1500 uA 200 ms,586.3424,1,1
117,1500 uA 200 ms,467.31264,1,1
118,1500 uA 200 ms,409.3952,1,1
119,1500 uA 200 ms,384.36863999999997,1,1
120,1000 uA 300 ms,682.84416,1,1
121,1000 uA 300 ms,629.43232,1,1
122,1000 uA 300 ms,744.40704,1,1
126,1000 uA 300 ms,483.86048,1,1
128,1000 uA 300 ms,980.09088,1,1
130,1000 uA 300 ms,458.752,1,1
135,1000 uA 300 ms,723.02592,1,1
138,1000 uA 300 ms,522.69056,1,1
139,1000 uA 300 ms,517.9392,1,1
0,1250 uA 200 ms,569.5487999999999,1,2
4,1250 uA 200 ms,519.3318399999999,1,2
5,1250 uA 200 ms,450.06847999999997,1,2
7,1250 uA 200 ms,375.15263999999996,1,2
9,1250 uA 200 ms,541.12256,1,2
11,1250 uA 200 ms,485.13024,1,2
12,1250 uA 200 ms,526.62272,1,2
14,1250 uA 200 ms,622.51008,1,2
15,"2 @ 3000 uA, 38 @ 1250 uA",413.16352,1,2
16,"2 @ 3000 uA, 38 @ 1250 uA",380.10880000000003,1,2
17,"2 @ 3000 uA, 38 @ 1250 uA",221.10208,1,2
21,"2 @ 3000 uA, 38 @ 1250 uA",460.22656,1,2
23,"2 @ 3000 uA, 38 @ 1250 uA",429.67040000000003,1,2
24,"2 @ 3000 uA, 38 @ 1250 uA",333.08672,1,2
26,"2 @ 3000 uA, 38 @ 1250 uA",833.69984,1,2
27,"2 @ 3000 uA, 38 @ 1250 uA",637.46048,1,2
0,1500 uA 200 ms,457.89184,1,3
1,1500 uA 200 ms,488.2432,1,3
2,1500 uA 200 ms,446.62784,1,3
3,1500 uA 200 ms,464.0768,1,3
5,1500 uA 200 ms,472.55552,1,3
6,1500 uA 200 ms,763.0848,1,3
7,1500 uA 200 ms,400.58880000000005,1,3
8,1500 uA 200 ms,349.71648,1,3
9,1500 uA 200 ms,428.40064,1,3
10,1500 uA 200 ms,374.12864,1,3
11,1500 uA 200 ms,297.28768,1,3
12,1500 uA 200 ms,475.7504,1,3
13,1500 uA 200 ms,533.7088,1,3
15,"2 @ 3000 uA, 38 @ 1500 uA",403.37408000000005,1,3
16,"2 @ 3000 uA, 38 @ 1500 uA",446.99647999999996,1,3
17,"2 @ 3000 uA, 38 @ 1500 uA",461.37344,1,3
18,"2 @ 3000 uA, 38 @ 1500 uA",413.77792,1,3
20,"2 @ 3000 uA, 38 @ 1500 uA",402.51392000000004,1,3
22,"2 @ 3000 uA, 38 @ 1500 uA",625.54112,1,3
23,"2 @ 3000 uA, 38 @ 1500 uA",434.25792,1,3
24,"2 @ 3000 uA, 38 @ 1500 uA",556.56448,1,3
25,"2 @ 3000 uA, 38 @ 1500 uA",621.568,1,3
26,"2 @ 3000 uA, 38 @ 1500 uA",320.96256,1,3
27,"2 @ 3000 uA, 38 @ 1500 uA",370.23744,1,3
28,"2 @ 3000 uA, 38 @ 1500 uA",350.45376,1,3
29,"2 @ 3000 uA, 38 @ 1500 uA",213.72928,1,3
6,haptic,197.14047999999985,2,1
7,haptic,245.47328000000013,2,1
8,haptic,153.06752,2,1
